repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;0.333;10;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep1
1;Ended;0.333;8;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep2
2;Ended;0.667;8;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep3
3;Ended;0.000;10;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep4
4;Ended;0.333;7;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep5
5;Ended;0.000;8;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep6
6;Ended;0.000;7;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep7
7;Ended;0.000;8;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep8
8;Ended;0.000;6;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep9
9;Ended;0.000;7;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep10
10;Ended;0.333;8;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep11
11;Ended;0.667;10;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep12
12;Ended;0.333;7;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep13
13;Ended;0.333;10;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep14
14;Ended;0.333;9;0;0;S1-T12-C2-PL-HR-S35-OPAQ-ABS_[11-12]-[22-54-58]_rep15
