repIndex;status;solutionCheck;completedTools;stoppedTools;failedTools;threadId
0;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep1
1;Ended;0.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep2
2;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep3
3;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep4
4;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep5
5;Ended;0.000;1;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep6
6;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep7
7;Ended;0.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep8
8;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep9
9;Ended;0.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep10
10;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep11
11;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep12
12;Ended;0.000;1;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep13
13;Ended;1.000;2;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep14
14;Ended;0.000;1;0;0;S1-T3-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[19-02-59]_rep15
