completedTools;inputTokensLast;avgPerToolTime;taxRefAttrTag;graphicalResolution;toolLook;totalCalls;taxRefAttrColor;repetitions;totalToolTime;status;outputTokens;expectedRepetitions;repIndex;tax;taxRelProx;solutionChecker;taxRefSuperExtremum;totalTokens;inputImagesLast;toolPickObject;taxRelFloor;taxActDrop;taxRel;toolWalk;taskPrompt;taxRefGroupSimple;taxRefAttrPattern;taxAct;graphicalLighting;threadId;outputTokensLast;scene;taxRefAttrShape;objectIdentifier;taxRelArea;totalGenerationTime;failedTools;taskId;taxRefId;solutionCheck;model;taxRefTag;taxRef;totalTokensLast;inputImages;coordinatesType;toolsCount;inputTokens;stoppedTools;avgPerGenerationTime;toolDropObject;taxActPick;episodeId
1;6578;1962.0;;HR;0;2;;15;1962.0;Ended;37;15.0;0;;;C3;;13134;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep1;21;S1;;OPAQ;;8061.0;0;T1;;1.0;G4O;;;6599;2;ABS;1;13097;0;4030.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1923.0;;HR;0;2;;15;1923.0;Ended;34;15.0;1;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep2;18;S1;;OPAQ;;6893.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;3446.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1920.0;;HR;0;2;;15;1920.0;Ended;34;15.0;2;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep3;18;S1;;OPAQ;;12190.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;6095.0;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1899.0;;HR;0;2;;15;1899.0;Ended;34;15.0;3;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep4;18;S1;;OPAQ;;9885.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;4942.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1885.0;;HR;0;2;;15;1885.0;Ended;36;15.0;4;;;C3;;13133;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep5;20;S1;;OPAQ;;7578.0;0;T1;;1.0;G4O;;;6598;2;ABS;1;13097;0;3789.0;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1916.0;;HR;0;2;;15;1916.0;Ended;34;15.0;5;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep6;18;S1;;OPAQ;;8035.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;4017.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1963.0;;HR;0;2;;15;1963.0;Ended;36;15.0;6;;;C3;;13133;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep7;20;S1;;OPAQ;;9597.0;0;T1;;1.0;G4O;;;6598;2;ABS;1;13097;0;4798.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1934.0;;HR;0;2;;15;1934.0;Ended;34;15.0;7;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep8;18;S1;;OPAQ;;9149.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;4574.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;2328.0;;HR;0;2;;15;2328.0;Ended;34;15.0;8;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep9;18;S1;;OPAQ;;6870.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;3435.0;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1926.0;;HR;0;2;;15;1926.0;Ended;34;15.0;9;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep10;18;S1;;OPAQ;;12026.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;6013.0;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
1;6578;1920.0;;HR;0;2;;15;1920.0;Ended;34;15.0;10;;;C3;;13131;1;1;;;;0;Pick the object tagged as 34;;;;PL;S1-T1-C3-PL-HR-G4O-OPAQ-ABS_[11-05]-[18-56-31]_rep11;18;S1;;OPAQ;;6821.0;0;T1;;1.0;G4O;;;6596;2;ABS;1;13097;0;3410.5;0;;S1-T1-C3-PL-HR-G4O-OPAQ-ABS
